PUBMEDID	Acronym	Agency	Country	GrantID
30263045	GM;HL	NIGMS NIH HHS;NHLBI NIH HHS	United States	R01 GM031575;R01 HL091357;U01 HL072524
29731509	MRC_;DH_;HD;AG	Medical Research Council;Department of Health;NICHD NIH HHS;NIA NIH HHS	United Kingdom;United States	G0901245;MR/M021475/1;Missing ID;R01 HD044454;G19/2;R01 AG046938;G0500079
30651383	AG;NS;BHF_;BB_;MRC_;HL;TR	NIA NIH HHS;NINDS NIH HHS;British Heart Foundation;Biotechnology and Biological Sciences Research Council;Medical Research Council;NHLBI NIH HHS;NCATS NIH HHS	United States;United Kingdom	P30 AG053760;UH3 NS100605;R01 AG049607;FS/14/55/30806;P30 AG010129;BB/F019394/1;R01 AG015819;U01 AG049505;MR/J006971/1;R01 NS017950;R01 NS083633;R01 AG054076;R01 HL120393;G1100540;RF1 AG059421;P30 AG062421;R01 NS087541;U01 HL120393;P01 AG000538;U24 AG056270;MR/M013111/1;R01 AG017917;G1001245;MR/K026992/1;P30 AG012300;RF1 AG051504;MR/N027558/1;P01 AG019724;R01 AG008122;P30 AG010161;R01 AG033193;R01 AG061796;G0701120;R01 AG033040;U01 AG052409;U01 AG046139;UH2 NS100605;KL2 TR001429
32914890	CA;DA;MH;HG;OD;RC;HL	NCI NIH HHS;NIDA NIH HHS;NIMH NIH HHS;NHGRI NIH HHS;CCR NIH HHS;NHLBI NIH HHS	United States	R01 CA151254;R01 DA006227;R01 MH101782;R01 MH101810;R01 MH101819;U01 HG004603;P50 CA092629;R01 MH090936;P30 CA008748;P30 CA016042;R01 CA175491;R01 MH090951;R01 MH101820;R01 MH101822;P30 CA196521;S10 OD018522;S10 OD026880;R01 MH101825;R01 MH090948;R01 MH090941;HHSN261200800001C;R01 MH090937;HHSN268201000029C;HHSN261200800001E;R01 MH101814
29725004	Missing Acronym	Missing Agency	Missing Country	Missing ID
30093612	CA;HL;WH;MRC_;AG;CRUK_;Missing Acronym;HD	NCI NIH HHS;NHLBI NIH HHS;WHI NIH HHS;Medical Research Council;NIA NIH HHS;Cancer Research UK;Wellcome Trust;NICHD NIH HHS	United States;United Kingdom	K05 CA092002;P01 CA087969;R03 CA128008;R01 CA058598;HHSN268201100046C;HHSN268201100003C;R01 CA105212;U19 CA148537;UM1 CA186107;HHSN268201600001C;R01 CA149429;HHSN268201100004C;MC_QA137853;MC_PC_17228;HHSN268201100001I;R01 CA087538;R01 CA091019;HHSN268201600002C;R01 CA134958;HHSN268201600018C;HHSN268201100004I;R01 CA082838;P30 CA008748;MC_UU_12015/2;R01 CA128978;HHSN268201600003C;HHSN271201100004C;HHSN268201100002C;R01 CA122443;P30 CA015083;HHSN268201600004C;R03 CA080636;R01 CA098346;R01 CA077398;R01 CA054281;10118;U19 CA148112;U19 CA148065;Missing ID;R01 CA049449;HHSN268201100002I;UM1 CA182910;N01 HD023166;R37 CA054281;P50 CA136393;HHSN268201100001C
31630189	MRC_;WT_;BHF_	Medical Research Council;Wellcome Trust;British Heart Foundation	United Kingdom	MC_PC_17228;MR/T002239/1;MR/M005070/1;104150/Z/14/Z;WT097835MF;090532/Z/09/Z;Missing ID;PG/17/21/32844;MC_QA137853
29632305	Missing Acronym	Missing Agency	Missing Country	Missing ID
30305743	Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym	Wellcome Trust	United Kingdom	090532/Z/09/Z;203141/Z/16/Z;095552/Z/11/Z;10956/Z/13Z;100308/Z/12/Z
28817678	CA	NCI NIH HHS	United States	P30 CA125123;R25 CA160078;U01 CA176063
30305740	MRC_	Medical Research Council	United Kingdom	MC_PC_17228;MC_QA137853;MR/K006673/1
32840624	DK;HL;NS	NIDDK NIH HHS;NHLBI NIH HHS;NINDS NIH HHS	United States	R01 DK123022;R01 HL088120;R01 HL119443;R21 NS112974
30595539	Missing Acronym	Missing Agency	Missing Country	Missing ID
30304924	Missing Acronym	Ministry of Health and Welfare		HI15C1575
30279531	Missing Acronym	Missing Agency	Missing Country	Missing ID
30266950	Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym	Japan Society for the Promotion of Science (JSPS);Japan Agency for Medical Research and Development (AMED)		22133008;23689022;15H04709;17ek0109208h0001
30299488	Missing Acronym	Missing Agency	Missing Country	Missing ID
32042192	MRC_;WT_;BHF_	Medical Research Council;Wellcome Trust;British Heart Foundation	United Kingdom	MC_PC_12028;MC_PC_17228;MR/T002239/1;MC_UU_12015/1;MC_UU_00006/2;MC_UU_12015/2;MC_UU_00002/7;204623/Z/16/Z;Missing ID;PG/17/21/32844;MC_QA137853
30177863	DK;MRC_	NIDDK NIH HHS;Medical Research Council	United States;United Kingdom	R01 DK106621;MC_QA137853;P30 DK034933;R01 DK107904;MC_PC_17228
30267110	Missing Acronym	Ministry of Health & Welfare of the Republic of Korea		HI15C1575
29728394	Missing Acronym	Missing Agency	Missing Country	Missing ID
33235445	Missing Acronym	Missing Agency	Missing Country	Missing ID
29659830	WT_;MRC_;Missing Acronym	Wellcome Trust;Medical Research Council	United Kingdom	105022/Z/14/Z;MC_UU_00011/1;Missing ID;MC_UU_12013/4;102215/2/13/2
30251476	Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym	Fondo de Investigación Sanitaria;ISCIII RETICS programs;Ramón y Cajal Program;ISCIII and ESF;RETICS Program;ISCIII and ERDF;Instituto de Salud Carlos III;European Social Fund	International	PI06/0024;PS09/00748;PI12/00060;PI15/00525;RD12/0009;RD16/0012;RYC-2014-16458;CD15/00095;RD16/0012/0009;CP16/00033;Missing ID
32963334	AG;AR;MRC_;GM;MH;HL;WH	NIA NIH HHS;NIAMS NIH HHS;Medical Research Council;NIGMS NIH HHS;NIMH NIH HHS;NHLBI NIH HHS;WHI NIH HHS	United States;United Kingdom	R01 AG061917;R01 AR059781;MC_QA137853;R01 AR069055;P01 AG018397;P20 GM109036;R01 MH104680;N01HC25195;MC_PC_17228;N01WH22110;N02HL64278;R01 AR041398;U19 AG055373
32830257	WT_;AI	Wellcome Trust;NIAID NIH HHS	United Kingdom;United States	Missing ID;102858/Z/13/Z;P50 AI030639
30265060	DA;NH;Missing Acronym	NIDA NIH HHS;Peter Boris Chair in Addictions Research	United States	R01 DA032015;Missing ID;Missing ID
30116032	GM	NIGMS NIH HHS	United States	R01 GM104400
27479909	MH;AT;HL	NIMH NIH HHS;NCCIH NIH HHS;NHLBI NIH HHS	United States	P50 MH106933;R01 AT009144;R01 HL124262;R01 MH100286
30693016	Missing Acronym	Missing Agency	Missing Country	Missing ID
29555444	Missing Acronym	Missing Agency	Missing Country	Missing ID
35739095	Missing Acronym	Missing Agency	Missing Country	Missing ID
23696881	WT_;MRC_	Wellcome Trust;Medical Research Council	United Kingdom	Missing ID;G0500070;083270/Z/07/Z
32853455	MRC_;AA	Medical Research Council;NIAAA NIH HHS	United Kingdom;United States	MR/S000607/1;U01 AA018389
30339177	HD	NICHD NIH HHS	United States	N01HD33348
30323354	Missing Acronym	Missing Agency	Missing Country	Missing ID
30061609	HL;HG;AG;GM;DK;Missing Acronym;ES	NHLBI NIH HHS;NHGRI NIH HHS;NIA NIH HHS;NIGMS NIH HHS;NIDDK NIH HHS;U.S. Department of Health &amp; Human Services | NIH | National Heart, Lung, and Blood Institute (NHLBI);NIEHS NIH HHS	United States;International	R01 HL120393;U01 HL120393;R01 HL105756;R15 HG009569;K08 HL136928;U01 AG023746;R01 HL131565;U54 GM115428;P30 DK020595;T32 HL007427;R01HL105756;P30 ES009089
28265093	Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym	Wellcome Trust;Medical Research Council;Department of Health	United Kingdom	095626;Missing ID;Missing ID;076113;WT084724MA;085475/B/08/Z;090355;085475/Z/08/Z
30661054	MRC_	Medical Research Council	United Kingdom	MC_PC_17228;MC_QA137853
30120336	Missing Acronym	Missing Agency	Missing Country	Missing ID
29730043	Missing Acronym	Missing Agency	Missing Country	Missing ID
29632382	MRC_;BHF_;HL;DK;GM;TR	Medical Research Council;British Heart Foundation;NHLBI NIH HHS;NIDDK NIH HHS;NIGMS NIH HHS;NCATS NIH HHS	United Kingdom;United States	MR/L020149/1;MR/L003120/1;RG/13/13/30194;R35 HL135824;MC_PC_13040;P30 DK063491;MR/S003746/1;MR/K007017/1;U01 DK078616;G0601261;P30 DK020572;P30 DK116074;P20 GM121334;U54 GM115428;R01 DK093757;R01 DK078616;MR/K023241/1;U01 DK085545;G0601463;U01 HL130114;R01 DK098032;MC_UU_12015/1;R01 DK072193;R00 HL130580;R01 HL119443;U01 DK105535;R01 DK062370;R01 HL105756;K24 DK080140;RG/14/5/30893;MC_UU_00007/10;U01 DK062370;UL1 TR001881;T32 HL007055
30685440	HD;HL;NS	NICHD NIH HHS;NHLBI NIH HHS;NINDS NIH HHS	United States	R01 HD047321;R03 HD047327;R01 HL045670;R01 NS047323;R01 HL047317
32913026	MRC_;BHF_	Medical Research Council;British Heart Foundation	United Kingdom	G9521010;MC_PC_14089;RG/16/4/32218;MC_EX_MR/M009203/1;MR/R024065/1
30049742	HC;HL;AI	NHLBI NIH HHS;NIAID NIH HHS	United States	N01 HC025195;HHSN268201500001I;N02 HL64278;P01 AI050516
30305637	CA;RC	NCI NIH HHS;CCR NIH HHS	United States	R25 CA092049;P30 CA086862;P30 CA008748;P50 CA097274;R01 CA200703;HHSN261200800001C;HHSN261200800001E
33491795	Missing Acronym	Product and Process Development Grant from the Sanquin Blood Supply Foundation		PPOC-14-028
29520040	MRC_;MH	Medical Research Council;NIMH NIH HHS	United Kingdom;United States	G19/2;MR/M021475/1;U01 MH109528;U01 MH109536
30266756	HG	NHGRI NIH HHS	United States	U01 HG006830
29703947	Missing Acronym	Missing Agency	Missing Country	Missing ID
31050781	Missing Acronym	Missing Agency	Missing Country	Missing ID
30247649	Missing Acronym	Missing Agency	Missing Country	Missing ID
30692689	MH	NIMH NIH HHS	United States	R00 MH113823
29580174	Missing Acronym	Missing Agency	Missing Country	Missing ID
30219835	Missing Acronym	Missing Agency	Missing Country	Missing ID
30649302	BHF_;MRC_;WT_;CA	British Heart Foundation;Medical Research Council;Wellcome Trust;NCI NIH HHS	United Kingdom;United States	SP/07/008/24066;102215/2/13/2;WT092830/Z/10 ;UM1 CA182934;MR/P014054/1 ;MC_UU_00011/6;G1001357;WT088806 ;MC_UU_12013/5
28915241	Missing Acronym	Missing Agency	Missing Country	Missing ID
28714469	AR;GM;DK;MD;AI	NIAMS NIH HHS;NIGMS NIH HHS;NIDDK NIH HHS;NIMHD NIH HHS;NIAID NIH HHS	United States	P60 AR053308;U54 GM104938;P30 AR053483;R01 DK107502;R01 MD007909;P30 AR070155;P30 AR072582;U01 AI101934;P30 AR070549;P30 AR047363;P60 AR062755;U19 AI082714;P30 GM103510;K01 AR067280;P30 GM110766;R01 AR060366;P01 AR048929
27476799	AR;HL;AG;TR;DK;HG	NIAMS NIH HHS;NHLBI NIH HHS;NIA NIH HHS;NCATS NIH HHS;NIDDK NIH HHS;NHGRI NIH HHS	United States	R01 AR060234;U01 HL067897;N01AG12100;N01HC95160;R01 AR061162;R01 HL067348;N01HC95159;N01HC95167;U01 AR066160;R01 AG041658;N01 AG062101;N01HC95163;U01 HL067893;UL1 TR001079;R01 AR035583;UL1 TR000128;R01 AR048797;N01HC95169;R01 HL072403;U01 HL056567;U01 HL067896;R01 AR035584;R21 AR060981;U01 HL067901;U01 AG042124;N01HC95164;N01 AG062106;U01 AG042145;N02HL64278;R01 AG027576;N01HC95162;R01 AR041398;N01HC95168;R01 AG032098;P30 DK063491;R01 AR053986;HHSN268200782096C;U01 HL067894;R01 AG005407;N01HC95165;N01 AG062103;U01 AG042168;N01HC95161;U01 AG042140;K01 AR062655;N01HC25195;RC2 AR058973;R01 AR035582;UL1 TR000040;U01 AG027810;R01 AG005394;N01HC95166;R01 AR050066;F31 AG044879;U01 AG042143;U01 AG042139;R01 AG027574;R01 HL092301
31578528	MRC_;BHF_;HL;HG;AR;HD;DK	Medical Research Council;British Heart Foundation;NHLBI NIH HHS;NHGRI NIH HHS;NIAMS NIH HHS;NICHD NIH HHS;NIDDK NIH HHS	United Kingdom;United States	MC_UU_00007/10;RG/18/13/33946;U01 HL120393;T32 HG002295;R01 AR073178;R01 HL105756;T32 HL129982;K12 HD043483;RG/13/13/30194;R01 HL120393;R01 DK114091;MC_QA137853;U01 HL130114;MC_PC_17228;P30 DK116074
30699873	MH;EB	NIMH NIH HHS;NIBIB NIH HHS	United States	R01 MH117601;U01 MH109536;U54 EB020403
31009096	AA	NIAAA NIH HHS	United States	U10 AA008401
30373671	HL;NH;ES	NHLBI NIH HHS;NIEHS NIH HHS	United States	R01 HL113264;U01 HL089856;K08 HL141601;P01 HL105339;U01HL089856;R01 HL125583;R01HL125583;K12HL120004;P01HL105339;P30 ES005605;R01 HL130512;U01HL089897;U01 HL089897;K23HL136851;K23 HL136851;K12 HL120004;R01HL130512;R01HL113264
30368896	Missing Acronym	Missing Agency	Missing Country	Missing ID
30377885	Missing Acronym	Missing Agency	Missing Country	Missing ID
27453504	DK;HL;HG	NIDDK NIH HHS;NHLBI NIH HHS;NHGRI NIH HHS	United States	R01 DK108159;HHSN268201100012C;RC2 HL102419;HHSN268201100009I;HHSN268201100010C;HHSN268201100008C;HHSN268201100005G;HHSN268201100008I;HHSN268201100007C;R01 HL098280;HHSN268201100011I;HHSN268201100011C;R01 HL081572;U01 HG004402;HHSN268201100006C;HHSN268201100005I;K08 DK090142;R01 HL093328;HHSN268201100009C;HHSN268201100005C;N01HC25195;HHSN268201100007I
31217265	Missing Acronym	Missing Agency	Missing Country	Missing ID
29884837	CA;DA;DE	NCI NIH HHS;NIDA NIH HHS;NIDCR NIH HHS	United States	R03 CA192197;R25 DA026120;R21 DE026837;R01 DE022891;P30 CA016672
29860282	AG;MRC_;Missing Acronym	NIA NIH HHS;Medical Research Council	United States;United Kingdom	U01 AG016976;MR/L016311/1;MR/J01107X/1;P50 AG047366;CSUB19166
31036433	HL;MH;OD;DK	NHLBI NIH HHS;NIMH NIH HHS;NIDDK NIH HHS	United States	R01 HL122712;T32 HL007605;R01 MH107666;R01 HL129735;UG3 OD023282;P01 HL070831;P30 DK020595
33272962	AI	NIAID NIH HHS	United States	R01 AI024717
31000673	CA	NCI NIH HHS	United States	P01 CA120964
30348214	Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;BB_;MRC_;Missing Acronym;Missing Acronym	National Health and Medical Research Council;NHMRC Fellowship Scheme;Biotechnology and Biological Sciences Research Council;Wellcome Trust;Chief Scientist Office	International;United Kingdom	1010374, 1046880, 1113400;1083656;1078037;1078901;BB/F019394/1;MR/K026992/1;Missing ID;Missing ID
30697902	ES;HL;MRC_;GM;MD	NIEHS NIH HHS;NHLBI NIH HHS;Medical Research Council;NIGMS NIH HHS;NIMHD NIH HHS	United States;United Kingdom	R01 ES015794;R01 HL141992;MR/L006758/1;R01 HL128439;R21 ES024844;R01 HL135156;T32 GM007546;R01 HL117004;P60 MD006902;RL5 GM118984;R01 MD010443
24507774	HL;TR;HG;MRC_;CSO_;DK;Missing Acronym;BB_	NHLBI NIH HHS;NCATS NIH HHS;NHGRI NIH HHS;Medical Research Council;Chief Scientist Office;NIDDK NIH HHS;Wellcome Trust;Biotechnology and Biological Sciences Research Council	United States;United Kingdom	RC2 HL102923;R01 HL120393;RC2 HL-102926;R01HL107816;HL105756;RC2 HL-102923;UL1 TR000124;R01 HL105756;U01 HG006380;RC2 HL-102925;T32HL007208;RC2 HL103010;K08-HL114642;MR/K026992/1;R01 HL107816;RC2 HL102926;ETM/55;G0700704;T32 HL007208;K08 HL114642;P30 DK063491;RC2 HL-102924;RC2 HL102924;090532;MC_PC_U127561128;CZB/4/505;RC2 HL-103010;RC2 HL102925;R21 HL121422;BB/F019394/1
30382898	Missing Acronym	Missing Agency	Missing Country	Missing ID
31006051	Missing Acronym	Missing Agency	Missing Country	Missing ID
31003110	Missing Acronym	Missing Agency	Missing Country	Missing ID
31207883	CA;Missing Acronym;Missing Acronym;Missing Acronym	NCI NIH HHS;Consejo Nacional de Ciencia y Tecnología;Instituto Nacional de Medicina Genomica;National Institutes of Health/National Cancer Institute	United States	K07 CA197179;INFR-2016-01-270405;266-17/2016/I;K07CA197179
31043678	Missing Acronym	Missing Agency	Missing Country	Missing ID
30993211	Missing Acronym	Missing Agency	Missing Country	Missing ID
30988330	Missing Acronym;CA;Missing Acronym;HG;Missing Acronym;OD;Missing Acronym;Missing Acronym;TR;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym	U.S. Department of Health &amp; Human Services | NIH | National Human Genome Research Institute (NHGRI);NCI NIH HHS;NHGRI NIH HHS;NCATS NIH HHS;U.S. Department of Health &amp; Human Services | NIH | National Center for Advancing Translational Sciences (NCATS)	International;United States	U01HG8666;T32 CA160056;U01HG8673;U01 HG008672;U01HG8664;U01 HG008666;S10 OD023680;U01HG8657;U01HG8672;UL1 TR002373;U01HG8679;U01HG8701;U01HG8684;U01HG8676;UL1TR000445
31020675	Missing Acronym	Missing Agency	Missing Country	Missing ID
30388399	HL;MRC_;AG;BB_;DK;OD	NHLBI NIH HHS;Medical Research Council;NIA NIH HHS;Biotechnology and Biological Sciences Research Council;NIDDK NIH HHS	United States;United Kingdom	R01 HL120393;U01 HL130114;MC_UU_00011/1;P30 AG049638;MR/K002414/1;MC_UP_1605/7;G9815508;MC_UU_12013/4;BB/F019394/1;MR/J012165/1;MC_UU_12015/1;U01 HL120393;R01 DK072193;R01 HL105756;MC_PC_15018;MC_UU_00007/10;U01 DK062370;P30 DK020572;S10 OD020069;P30 AG010129;R01 HL141399;MR/K026992/1
30920090	WT_;Missing Acronym	Wellcome Trust;Wellcome Trust Career Development Fellowship	United Kingdom;International	100956/Z/13/Z;097364/Z/11/Z;208750/Z/17/Z
30053915	Missing Acronym;Missing Acronym	Swiss National Science Foundation;Agence Nationale de la Recherche	Switzerland;International	31003A_175603;10-LABX-69-01
30054594	MRC_	Medical Research Council	United Kingdom	MC_PC_17228;MC_QA137853
30298529	HG;LM;AR;HL;TR	NHGRI NIH HHS;NLM NIH HHS;NIAMS NIH HHS;NHLBI NIH HHS;NCATS NIH HHS	United States	U01 HG006385;U01 HG008676;T15 LM007442;U01 HG008657;U01 HG006382;P30 AR070253;U01 HG004424;U01 HG006389;U01 HG008679;U01 HG006380;U01 HG008666;K01 HL127265;U01 HG008673;U01 HG008685;U01 HG006379;U01 HG008664;U01HG8657 (Kaiser Washington/University of Washington), U01HG8685 (Brigham and Women's Hospital), U01HG8672 (Vanderbilt University Medical Center), U01HG8666 (Cincinnati Children's Hospital Medical Center), U01HG6379 (Mayo Clinic), U01HG8679 (Geisinger Clinic), U01HG8680 (Columbia University Health Sciences), U01HG8684 (Children s Hospital of Philadelphia), U01HG8673 (Northwestern University), U01HG8701 (Vanderbilt University Medical Center serving as the Coordinating Center), U01HG8676 (Partners Healthcare/Broad Institute), and U01HG8664 (Baylor College of Medicine), U01HG006828 (Cincinnati Children's Hospital Medical Center/Boston Children's Hospital), U01HG006830 (Children's Hospital of Philadelphia), U01HG006389 (Essentia Institute of Rural Health, Marshfield Clinic Research Foundation and Pennsylvania State University), U01HG006382 (Geisinger Clinic), U01HG006375 (Group Health Cooperative/University of Washington), U01HG006379 (Mayo Clinic), U01HG006380 (Icahn School of Medicine at Mount Sinai), U01HG006388 (Northwestern University), U01HG006378 (Vanderbilt University Medical Center), and U01HG006385 (Vanderbilt University Medical Center serving as the Coordinating Center), U01HG004438 (CIDR), U01HG004424 (the Broad Institute);U01 HG006375;U01 HG004438;U01 HG008672;UL1 TR001422;U01 HG008684;U01 HG006828;U01 HG006388;U01 HG008680;U01 HG006378;U01 HG008701;U01 HG006830
30277614	NH;DE;Missing Acronym;Missing Acronym;MD;HL;DD	NIH HHS;NIDCR NIH HHS;Agencia Nacional de Promoción Científica y Tecnológica;Johns Hopkins Center for Inherited Disease Research;NIMHD NIH HHS;NHLBI NIH HHS;NCBDD CDC HHS	United States;International	DE012472;U54-MD007587;R01-DE016148;U01-DE024425;R37 DE008559;PICT-2016-3869;R01 DE011931;R01 DE014667;R01-DE014667;HHSN268201200008I;R01-DE011948;K99-DE024571;U54 MD007587;S21 MD001830;HHSN268201200008C;R00 DE024571;R01 DE016148;R01 DE011948;DD000295;U01 DE024425;DE009886;R00 DE025060;R01 DE008559;R21 DE016930;R00-DE025060;R01 DE009886;X01-HG007485;K99 DE024571;R01 DD000295
30261039	AG;AR;RX;DK;MRC_;TR;WT_;DP;HL;WH;RR;RA	NIA NIH HHS;NIAMS NIH HHS;RRD VA;NIDDK NIH HHS;Medical Research Council;NCATS NIH HHS;Wellcome Trust;NCCDPHP CDC HHS;NHLBI NIH HHS;WHI NIH HHS;NCRR NIH HHS;ARRA NIH HHS	United States;United Kingdom	U01 AG042145;R01 AR062506;IK2 RX001515;U01 AG042143;U01 AG027810;R01 AG005394;R01 AG027574;P30 DK072488;MC_QA137853;RC2 AR058950;MC_PC_17228;UL1 TR000124;Missing ID;RC2 AR058973;R01 AG023629;U01 AG042140;U01 AG042124;U01 DP006266;U01 HL080295;104036/Z/14/Z;R01 HL120393;HHSN268201200036C;R01 HL103612;U01 HL130114;HHSN268200900009C;K24 AR070892;UL1 RR024140;UL1 TR002369;UL1 TR000128;R01 HL085251;Missing ID;R01 AG027576;P60 AR047785;U01 AG042139;R01 HL105756;MC_UU_00007/10;U01 AR066160;R01 AG005407;R01 HL087652;U01 AG042168;HHSN268200800007C
30289108	CA;OD	NCI NIH HHS	United States	P50 CA092629;S10 OD018522;P30 CA008748;R01 CA175491;P30 CA196521
24869959	Missing Acronym	Missing Agency	Missing Country	Missing ID
30778226	HL;BHF_;DA;HG;MRC_;DK;GM;TR;HD	NHLBI NIH HHS;British Heart Foundation;NIDA NIH HHS;NHGRI NIH HHS;Medical Research Council;NIDDK NIH HHS;NIGMS NIH HHS;NCATS NIH HHS;NICHD NIH HHS	United States;United Kingdom	K99 HL130580;RG/18/13/33946;R21 DA040177;R01 HG008983;MC_UU_12015/2;MC_EX_MR/M009203/1;MR/S003746/1;P30 DK056336;T32 HL007055;R21 HL121422;FS/12/82/29736;R01 DK093757;MC_UU_00007/10;U01 HG007417;G9521010;R01 DK106621;RG/13/13/30194;U01 HG007416;R01 GM126479;KL2 TR001109;R01 DK072193;R00 HL130580;MR/L01632X/1;R01 DK110113;P30 DK079626;R01 DK107786;MC_PC_14089;R01 DK075787;MR/L01341X/1;MC_UU_12015/1;R01 HL119443;R01 DK062370;R01 HL105756;U01 DK062370;K12 HD043483;R01 DK107904;R01 DK089256;P30 DK020572;RG/14/5/30893;R01 HD057194
30284222	Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym;Missing Acronym	Hrvatska Zaklada za Znanost;Ministarstvo Obrazovanja, Znanosti i Sporta;Sixth Framework Programme;Seventh Framework Programme		4950;8875;1498;216-1080315-0302;LSHG-CT-2006-018947;313010
30287856	Missing Acronym	Missing Agency	Missing Country	Missing ID
30281099	DD;ES;HD	NCBDD CDC HHS;NIEHS NIH HHS;NICHD NIH HHS	United States	U01 DD001223;P30 ES005605;U01 DD001035;HHSN275201100001I;HHSN275201100001C;HHSN275201100001G
30087447	Missing Acronym	Missing Agency	Missing Country	Missing ID
30104567	CA;TR;GM;LM;RR;HL;HG;WHO_	NCI NIH HHS;NCATS NIH HHS;NIGMS NIH HHS;NLM NIH HHS;NCRR NIH HHS;NHLBI NIH HHS;NHGRI NIH HHS;World Health Organization	United States;International	P50 CA119997;P30 CA023108;P30 CA076292;U01 CA063464;P50 CA070907;R01 CA111703;UM1 CA182876;UL1 TR000117;P20 CA090578;U19 CA148127;P20 GM103534;UL1 TR000445;R01 LM012012;R01 CA092824;R35 CA197449;UM1 CA164973;U01 CA167462;U19 CA203654;R01 CA144034;P20 RR018787;S10 RR025141;R01 CA074386;R01 CA176568;K07 CA172294;R01 CA063464;P01 CA033619;R01 HL133786;P30 CA177558;P50 CA090578;U01 HG004798;R01 CA151989;UM1 CA167462;U01 CA164973
30166627	ARC_;MRC_	Arthritis Research UK;Medical Research Council	United Kingdom	20385;20670;G1001518;MR/K015346/1
30729179	MRC_	Medical Research Council	United Kingdom	MC_PC_17228;MC_QA137853
28346466	Missing Acronym	Missing Agency	Missing Country	Missing ID
30294719	AG;HD	NIA NIH HHS;NICHD NIH HHS	United States	P01 AG031719;P30 AG034424;R01 AG023627;R03 HD050374
30674050	Missing Acronym	Missing Agency	Missing Country	Missing ID
30218097	Missing Acronym	Missing Agency	Missing Country	Missing ID
