Agencies	Counter
David Conti is supported by the following NIH	4
Strategic Research Program in Epidemiology at Karolinska Institute and National Institutes of Health	1
NIH/NHLBI	1
Spanish Ministry of Economy and Competitiveness-Carlos III Institute of Health cofunded by FEDER funds/European Regional Develpment Fund (ERDF)-a way to build Europe	1
National Heart, Lung, and Blood Institute, National Institutes of Health, U.S. Department of Health and Human Services through contracts	1
Chief Scientist Office [UK]	3
Canadian Institutes of Health Research 	1
Department for International Development	1
Shanghai Municipal Science and Technology Major Project	1
Vetenskapsrådet (Swedish Research Council)	3
Cancer Research UK (CRUK)	1
National Institute of Neurological Disorders and Stroke	3
National Institute of Mental Health	1
National Institute on Aging	1
Ministère de la Recherche et des Technologies (FR)	1
David Judah Foundation	1
Biological Sciences Division at the University of Chicago	1
Ministerio de Educación y Ciencia	1
National Human Genome Research Institute	3
ZonMw (Netherlands Organisation for Health Research and Development)	6
U.S. Department of Health &amp; Human Services | U.S. Public Health Service (United States Public Health Service)	1
CSP VA	2
National Institute on Deafness and Other Communication Disorders	2
Australian Research Council	2
Vetenskapsrådet	4
Hjärt-Lungfonden	1
Forskningsrådet om Hälsa, Arbetsliv och Välfärd	1
ENGAGE Consortium	1
VA Medical Research Service	1
China Scholarship Council	2
National Center on Minority Health and Health Disparities	1
Juvenile Diabetes Research Foundation	1
DERC Clinical Investigation Core	1
Federal Institute for Drugs and Medical Devices in Bonn	1
Tohoku Medical Megabank Project (Special Account for reconstruction from the Great East Japan Earthquake)	1
JSPS KAKENHI	1
Ministry of Science, ICT and Future Planning	2
Supreme Prosecutors' Office	1
the research program of Korea Institute of Oriental Medicine	1
National Center for Global Health and Medicine	3
Sigrid Juselius Foundation	1
Academy of Finland	4
Global Research Awards for Nicotine Dependence (GRAND)	1
ENGAGE-European Network for Genetic and Genomic Epidemiology	2
Biomedicum Helsinki Foundation, and Doctoral Program in Biomedicine, University of Helsinki (J.H.)	2
Real Colegio Complutense at Harvard University	1
U.S. Department of Health & Human Services | NIH | National Institute of Environmental Health Sciences (NIEHS)	1
U.S. Department of Health & Human Services | NIH | National Institute of Diabetes and Digestive and Kidney Diseases (National Institute of Diabetes & Digestive & Kidney Diseases)	2
U.S. Department of Health & Human Services | NIH | National Institute on Aging (U.S. National Institute on Aging)	1
National Research Foundation of Korea (NRF)	5
National Institute of Child Health and Human Development	1
National Rehabilitation Center (UAE)	1
Key Research and Development and Promotion Project of Henan province	1
Key Scientific Research Projects of Colleges and Universities in Henan Province	1
Italian Ministry of Health	2
Università degli Studi di Brescia	1
Integrated Applied Genetics Training -AppGENEdu	1
EEA Grants	1
FP7 Ideas: European Research Council	2
Foundation Volksbond Rotterdam	1
Brain &amp; Behavior Research Foundation	1
US National Institutes of Health, National Institute on Drug Abuse	1
NWO	1
GlaxoSmithKline (GB)	1
the National Institutes of Health	6
the Key projects of international cooperation among governments in scientific and technological innovation	1
the Natural Science Basic Research Plan in Shaanxi Province of China	1
the National Natural Scientific Foundation of China	2
Chang Gung Memorial Hospital, Linkou	1
National Health Research Institutes and Central Government S & T grant, Taiwan	1
Hartstichting (Dutch Heart Foundation)	1
Nederlandse Organisatie voor Wetenschappelijk Onderzoek (Netherlands Organisation for Scientific Research)	2
U.S. Department of Veterans Affairs (Department of Veterans Affairs)	5
Netherlands CardioVascular Research Initiative of the Netherlands Heart Foundation	1
U.S. Department of Defense (United States Department of Defense)	2
U.S. Department of Health &amp; Human Services | NIH | National Institute of Mental Health (NIMH)	10
U.S. Department of Health &amp; Human Services | NIH | Center for Scientific Review (NIH Center for Scientific Review)	2
GlaxoSmithKline	2
National Natural Science Foundation of China (National Science Foundation of China)	8
Lundbeckfonden	3
Det Frie Forskningsråd	1
Simons Foundation	2
National Institute of Mental Health (US)	1
Inner Mongolia Autonomous Region medical health science & technology research program	1
Department for Health [UK]	1
Maudsley Charity	2
Klarman Family Foundation	1
UK Medical Research Council	6
South London and Maudsley NHS Foundation Trust	1
National Key Research and Development Program China	2
Leverhulme Trust	1
National Basic Research Program of China	1
Netherlands Organisation for Scientific Research	4
Australian NHMRC Fellowship	1
Science and Technology Commission of Shanghai Municipality	1
National Key R&amp;D Program of China	1
National Science Foundation of China	1
Netherlands Organization of Scientific Research	2
Universidad de Antioquia	2
Netherlands Genomics Initiative	1
Horizon 2020 - Research and Innovation Framework Programme	1
Strategic Priority Reserach Program Chinese Academy of Sciences	1
Shanghai Municipal Science and Technology Commission	1
Chinese Academy of Sciences	2
Levelhulm Trust	1
BBSRC	1
European Union Horizon 2020 Research and Innovation Programme	1
RCUK | MRC | Medical Research Foundation	1
U.S. Department of Health &amp; Human Services | NIH | National Center for Research Resources (NCRR)	1
European Foundation for the Study of Diabetes	1
Horizon 2020	1
Novo Nordisk Fonden	1
Federal Ministry of Education and Research of the Federal Republic of Germany	1
EU framework program	1
CIHR Foundation Grant	1
Netherlands Organization for Health Research and Development	1
Oslo University Hospital, Ullevaal	1
NSF grant	1
South East Norway Health Authority	1
Grant Agency of the Czech Republic	1
Natural Science Foundation of Jiangsu province of China	1
NIDA	1
NIMH	1
NCI	1
NHGRI	1
NHLBI	1
Council of Scientific and Industrial Research	2
Department of Biotechnology (DBT)	1
Department of Science & Technology	1
NCCK	1
Universität des Saarlandes (Saarland University)	1
Novo Nordisk Fonden (Novo Nordisk Foundation)	1
CAMS Initiative Fund for Medical Sciences	3
Beijing Nova Program Interdisciplinary Collaborative Project	1
PUMC Youth Fund & the Fundamental Research Funds for the Central Universities	1
The Central Level Public Interest Program for Scientific Research Institute	1
Beijing Nova Program	1
the 2016 PUMCH Science Fund for Junior Faculty	1
the Distinguished Youth Foundation of Peking Union Medical College Hospital	1
Beijing Natural Science Foundation	1
VA Merit Review Award Clinical Science R&D	1
EFSD/CDS/Lilly Programme award (2013)	1
Austrian Science Fund (FWF)	1
Polish Ministry of Sciences and Education	1
Polish Ministry of Science	1
Popoulous collection founded by European Regional Development Fund	1
Comisión Nacional de Investigación Científica y Tecnológica	1
Edinburgh Clinical Academic Track	1
Svenska Forskningsrådet Formas	2
Estonian Research Competency Council	1
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung	1
SystemsX.ch	1
United States	2
RACP Research Entry Scholarship	1
Cancer Therapeutics CRC	1
Kids Cancer Alliance	1
Cancer Institute NSW	1
ORFDO NIH HHS	26
Soonchunhyang University	1
Ministry of Health and Care Services | Helse Sør-Øst RHF (Southern and Eastern Norway Regional Health Authority)	2
Norges Forskningsråd (Research Council of Norway)	1
U.S. Department of Health &amp; Human Services | National Institutes of Health (NIH)	5
National Natural Science Foundation of China (CN)	1
Ministry of Health & Welfare	2
Post-Genome Multi-Ministerial Project	2
Longfonds	1
NIH National Institute of Neurological Diseases and Stroke	1
National Institutes of Neurological Diseases and Stroke	1
Muscular Dystrophy Association	1
Charcot-Marie-Tooth Association	1
National Institute for Health Research University College London Hospitals Biomedical Research Centre	1
Departament d'Universitats, Recerca i Societat de la Informació	3
instituto nacional de bioinformatica	1
Agencia Estatal de Investigación	3
Gouvernement du Canada | Canadian Institutes of Health Research (Instituts de Recherche en Santé du Canada)	2
Al Jalila Foundation	1
Edith Cowan University	1
Khalifa University	1
Korea Ministry of Environment	1
Sundhed og Sygdom, Det Frie Forskningsråd	1
Rigshospitalet	1
Copenhagen University Hospital	1
Tobacco-Related Disease Research Program (TRDRP)	2
BrightFocus Foundation	1
Fondo Trieste	1
Regione FVG	1
Natural Science Foundation of Tianjin City (Natural Science Foundation of Tianjin)	1
British Heart Foundation (GB)	2
Medical Research Council (GB)	1
European Regional Development Fund from the European Union	1
State Research Agency	1
MICIU/ULL	1
Robert Wood Johnson Foundation	1
National Heart Lung and Blood Institute	12
Spanish Ministry of Science, Innovation, and Universities	3
American Asthma Foundation	1
Harry Wm. and Diana V. Hind	1
Tobacco-Related Disease Research Program	1
Sandler Foundation	1
Qatar University	2
GCC-2017-011	1
Freistaat Sachsen	1
Helmholtz Zentrum München	1
Consejería de Salud y Familias, Junta de Andalucía	1
Sociedad Española de Enfermedades Infecciosas y Microbiología Clínica	1
the national natural science foundation of china	1
key research and development plan of hainan province	1
Australian National Health and Medical Research Council	1
American Heart Association	1
Indonesia Endowment Fund for Education (LPDP)	1
Breast Cancer Research Foundation	1
Research Program of the Korea Food Research Institute (KFRI), funded by the Ministry of Science and ICT	1
Thailand Research Fund (TRF)	1
Grant-in-Aid for Scientific Research	4
Grant-in-aid for Policy Research for Intractable Diseases	4
Brain and Behavior Research Foundation (Brain &amp; Behavior Research Foundation)	1
US National Institutes of Health	1
Brain Research UK	1
Health education England	1
Hjärnfonden	1
Karolinska Institutet Research Funds	1
Wellcome Trust and strategic award	2
Wellcome Trust Institutional Strategic Support Fund	1
University of London	1
Brain Foundation	1
University of Chicago Comprehensive Cancer Center Women's Board	1
St. Jude Children's Research Hospital	1
American Lebanese Syrian Associated Charities	1
National Key Research &amp; Development Program of China	2
Department of Science and Technology of Sichuan Province	1
Fondo Nacional de Desarrollo Científico y Tecnológico	4
Academia Sinica	1
Ministry of Science and Technology, Taiwan (Ministry of Science and Technology of Taiwan)	1
Red Iberoamericana de medicina genómica en enfermedad de Chagas	1
CYTED	1
Ministerio de Ciencia y Tecnología de Córdoba	1
Secretaría de Ciencia y Tecnología	1
CNPq	1
FAPEMIG	1
Agence Nationale de Recherche	1
State Key Lab of Reproductive Medicine of Nanjing Medical University	1
Priority Academic Program Development of Jiangsu Higher Education Institutions	1
Natural Science Foundation of Jiangsu Province	2
Six Distinguished Talent	1
Jiangsu Provincial Medical Talent	1
Jiangsu Provincial Key Medical Discipline	1
Graduate Student Scientific Research Innovation Projects in Jiangsu Province	1
Changzhou Sci&Tech Program	1
Young Talent Development Plan of Changzhou Health Commission	1
Ministry of Food and Drug Safety	1
Fondo integrativo per la ricerca (Fir)	1
"Autonomous Region of Sardinia (""Legge Regionale 7 agosto 2007, n. 7 - call 2017"")"	1
Sardinian Regional Government	1
U.S. Department of Health &amp; Human Services | NIH | Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	1
National Blood Foundation/American Association of Blood Banks	1
NRSA Joint Program in Transfusion Medicine	1
Ministry of Science and Technology	1
Universitair Medisch Centrum Groningen	1
Spanish Ministry of Science and Innovation	1
Health Strategic Action (ISCIII and European Regional Development Fund)	1
German Research Council	9
Alpe d’Huzes and the Dutch Cancer Society	3
ORIP NIH HHS	1
Interdisciplinary Research Program of the National Center for Tumor Diseases (NCT), Germany, and the German Federal Ministry of Education and Research	6
Gilliland	1
TRANSCAN 	2
Czech Science Foundation	1
ZonMW investment	1
Junta de Castilla y León	1
Grant Agency of the Ministry of Health of the Czech Republic	2
Rutherford Fund Fellowship from the Medical Research Council	1
CORSA: “Österreichische Nationalbank Jubiläumsfondsprojekt”	1
Agency for Management of University and Research Grants (AGAUR)	1
German Federal Ministry of Education and Research	1
2014/1179	1
UK Medical Research Council Integrative Epidemiology	1
European Union Seventh Framework Programme	1
 Xarxa de Bancs de Tumors de Catalunya sponsored by Pla Director d’Oncología de Catalunya (XBTC), Plataforma Biobancos	1
Austrian Research Funding Agency (FFG)	1
Innovative Medicines Initiative Joint Undertaking	1
H2020 European Research Council	1
NHMRC	1
Centre of Research Excellence for the Study of Naevi	1
HHS | National Institutes of Health (NIH)	1
HHS | NIH | Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	1
HHS | NIH | National Institute of Mental Health (NIMH)	1
Wellcome Trust (WT)	1
National Heart, Lung, and Blood Institute T32 postdoctoral training grant	1
British Heart Foundation Centre of Research Excellence Grant	1
Health Collaboration Acceleration Fund from the Government of Quebec	1
AstraZeneca	1
EU Joint Programme - Neurodegenerative Disease Research	1
Korea Food Research Institute	1
Natural Science Foundation of Fujian Province	1
Fujian Medical Innovation Fund	1
Fondation Leducq	1
Croatian Science Foundation	1
Ministry of Science and Technology of Taiwan	1
National Science Foundation	1
RTI International	1
Hallym University	1
China Medical University, Taichung, Taiwan	1
Chang Gung Memorial Hospital, Keelung, Taiwan	1
EC | Sixth Framework Programme (EC Sixth Framework Programme)	1
Swedish Cancer Society	1
Radium Hemmets Research Funds	1
Stockholm County Council	1
Märit and Hans Rausing´s Initiative Against Breast Cancer	1
UK Medical Research Council Integrative Epidemiology Unit	1
Estonian Science Foundation	1
Foundation for the National Institutes of Health (Foundation for the National Institutes of Health, Inc.)	2
European Commission	2
Canada Research Chair in the Environment and Genetics of Respiratory Diseases and Allergies	1
UK Medical Research Council and Wellcome	1
Special Program of the National Natural Science Foundation of China (NSFC) on tracing, pathogenesis, prevention, and treatment for COVID-19	1
U.S. Department of Health &amp; Human Services | NIH | National Institute of Diabetes and Digestive and Kidney Diseases (National Institute of Diabetes &amp; Digestive &amp; Kidney Diseases)	1
U.S. Department of Health &amp; Human Services | NIH | National Institute of Environmental Health Sciences (NIEHS)	1
HHS | NIH | National Heart, Lung, and Blood Institute (NHLBI)	4
HHS | NIH | National Institute of Environmental Health Sciences (NIEHS)	1
Fondazione Tizzi	1
Fondazione Arpa	1
Associazione Italiana Ricerca Cancro	1
Fondazione Italiana Malattie Pancreas - Ministero Salute	1
Fondo de Investigaciones Sanitarias	1
AIRC	1
Princess Máxima Center Foundation, Utrecht, the Netherlands	1
NIH/NIA	1
National Institutes of Health/National Institute on Aging	1
Diputación Foral de Gipuzkoa	1
Manatu Hauora | Health Research Council of New Zealand (HRC)	1
Fondazione Italiana Sclerosi Multipla	5
Ministero della Salute	1
Università degli Studi del Piemonte Orientale	1
HYPERGENES	1
National Multiple Sclerosis Society	2
the Interreg 2 Seas programme	1
Dept of Health	1
The Stroke Association	1
Dowager Countess Eleanor Peel Trust	1
National Natural Science Foundation of China (NSFC)	1
Ministry for Innovation and Technology	4
Sixth Framework Program of the European Union	1
Hungarian Scientific Research Fund	1
Thematic Excellence Programme	1
National Research, Development and Innovation Office	1
National Development Agency	2
Hungarian Brain Research Program	2
Ministry of Science and Technology in Taiwan	1
Taipei Veterans General Hospital	1
Yen Tjing Ling Medical Foundation	1
MOH | National Medical Research Council (NMRC)	3
The APC was funded by Researchers Supporting Project, King Saud University, Riyadh, Saudi Arabia.	1
Orionin Tutkimussäätiö	1
Sigrid Juséliuksen Säätiö	1
Suomen Lääketieteen Säätiö	1
Jiangsu Higher Education Institutions	1
U.S. Department of Health & Human Services | NIH | National Institute on Drug Abuse (NIDA)	1
Lundbeckfonden (Lundbeck Foundation)	3
